run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	library_strategy	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title	bam_ftp
SRR5988520	SAMN07571797	SRX3144295	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/000/SRR5988520/SRR5988520_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/000/SRR5988520/SRR5988520_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/000/SRR5988520	GSM2758885	17_Pc_B108T16	
SRR5988522	SAMN07571795	SRX3144297	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/002/SRR5988522/SRR5988522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/002/SRR5988522/SRR5988522_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/002/SRR5988522	GSM2758887	14_NB_B108T18	
SRR5988445	SAMN07571747	SRX3144220	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/005/SRR5988445/SRR5988445_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/005/SRR5988445/SRR5988445_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/005/SRR5988445	GSM2758810	14_NB(p)_B100T2	
SRR5988446	SAMN07571746	SRX3144221	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/006/SRR5988446/SRR5988446_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/006/SRR5988446/SRR5988446_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/006/SRR5988446	GSM2758811	17_NC_B100T3	
SRR5988451	SAMN07571820	SRX3144226	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/001/SRR5988451/SRR5988451_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/001/SRR5988451/SRR5988451_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/001/SRR5988451	GSM2758816	14_NP_B100T19	
SRR5988452	SAMN07571819	SRX3144227	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/002/SRR5988452/SRR5988452_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/002/SRR5988452/SRR5988452_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/002/SRR5988452	GSM2758817	12.5_NP(p)_B108T65	
SRR5988453	SAMN07571818	SRX3144228	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/003/SRR5988453/SRR5988453_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/003/SRR5988453/SRR5988453_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/003/SRR5988453	GSM2758818	12.5_NB(p)_B108T66	
SRR5988454	SAMN07571817	SRX3144229	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/004/SRR5988454/SRR5988454_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/004/SRR5988454/SRR5988454_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/004/SRR5988454	GSM2758819	12.5_NB(l)_B108T49	
SRR5988457	SAMN07571814	SRX3144232	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/007/SRR5988457/SRR5988457_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/007/SRR5988457/SRR5988457_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/007/SRR5988457	GSM2758822	12.5_NB(a)_B108T68	
SRR5988459	SAMN07571794	SRX3144234	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/009/SRR5988459/SRR5988459_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/009/SRR5988459/SRR5988459_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/009/SRR5988459	GSM2758824	12.5_NP(p)_B108T50	
